0,1337,938,840,647,748,984,578,987,800,2505
1337,0,749,1005,810,1017,1026,1385,1661,1860,3068
938,749,0,262,825,1116,1271,1297,1693,1687,2978
840,1005,262,0,920,1198,1385,1296,1712,1630,2919
647,810,825,920,0,291,467,579,909,1051,2284
748,1017,1116,1198,291,0,236,414,648,887,2051
984,1026,1271,1385,467,236,0,586,677,1022,2083
578,1385,1297,1296,579,414,586,0,421,480,1713
987,1661,1693,1712,909,648,677,421,0,479,1412
800,1860,1687,1630,1051,887,1022,480,479,0,1292
2505,3068,2978,2919,2284,2051,2083,1713,1412,1292,0
